Rank,Player,Position,Stages,TotalKill(Avg.),TotalAssistant(Avg.),TotalDeath(Avg.),KDA,AverageGoldGain,AverageFarming,AverageWarding,AverageAntiWarding,AverageTeamfight%,MVP
26,JDGLoken,ADC,28,109 (3.8),129 (4.6),35 (1.2),6.8,15475,339,11,11,0.681,3
27,RWMouse,TOP,55,107 (1.9),281 (5.1),100 (1.8),3.8,12741,276,17,4,0.527,1
28,SSFlandre,TOP,47,106 (2.2),228 (4.8),108 (2.2),3.0,15996,357,17,6,0.699,7
29,IGTheShy,TOP,34,99 (2.9),181 (5.3),76 (2.2),3.6,13973,282,20,4,0.519,8
30,EDGRay,TOP,56,98 (1.7),244 (4.3),100 (1.7),3.4,12421,272,18,5,0.6,3
31,JDGRD,ADC,22,98 (4.4),85 (3.8),45 (2),4.0,14559,331,11,13,0.733,2
32,FPXGimgoon,TOP,46,96 (2),221 (4.8),106 (2.3),2.9,13659,294,21,6,0.568,1
33,SNGXiaoAL,TOP,48,96 (2),243 (5),95 (1.9),3.5,14300,321,19,7,0.555,3
34,FPXPepper,JG,46,95 (2),315 (6.8),125 (2.7),3.2,11207,168,54,17,0.733,8
35,JDGZoom,TOP,50,91 (1.8),239 (4.7),98 (1.9),3.3,13815,309,19,4,0.392,3
36,FPXBing,MID,32,89 (2.7),177 (5.5),89 (2.7),2.9,13189,294,20,9,0.657,1
